RAM 2417/7850MB (lfb 354x4MB) SWAP 53/3925MB (cached 7MB) CPU [5%@2032,0%@2034,0%@2034,100%@2034,3%@2037,0%@2038] EMC_FREQ 3%@1866 GR3D_FREQ 99%@216 APE 150 MTS fg 0% bg 0% PLL@49C MCPU@49C PMIC@50C Tboard@44C GPU@48C BCPU@49C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 761/397 VDD_SYS_SOC 913/930 VDD_4V0_WIFI 0/15 VDD_IN 5259/5169 VDD_SYS_CPU 1142/1350 VDD_SYS_DDR 1403/1391
RAM 2418/7850MB (lfb 354x4MB) SWAP 53/3925MB (cached 7MB) CPU [1%@2031,0%@2036,0%@2035,100%@2036,0%@2037,0%@2037] EMC_FREQ 3%@1866 GR3D_FREQ 99%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@48C BCPU@48.5C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 761/407 VDD_SYS_SOC 913/929 VDD_4V0_WIFI 0/14 VDD_IN 5221/5170 VDD_SYS_CPU 1142/1345 VDD_SYS_DDR 1365/1390
RAM 2418/7850MB (lfb 354x4MB) SWAP 53/3925MB (cached 7MB) CPU [1%@2031,0%@2034,0%@2037,100%@2034,1%@2037,0%@2036] EMC_FREQ 2%@1866 GR3D_FREQ 98%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@48C BCPU@48.5C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 838/419 VDD_SYS_SOC 913/929 VDD_4V0_WIFI 0/14 VDD_IN 5333/5174 VDD_SYS_CPU 1142/1339 VDD_SYS_DDR 1403/1390
RAM 2448/7850MB (lfb 354x4MB) SWAP 53/3925MB (cached 7MB) CPU [3%@2032,0%@2035,0%@2036,100%@2030,1%@2030,0%@2031] EMC_FREQ 3%@1866 GR3D_FREQ 99%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@48C BCPU@48.5C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 761/428 VDD_SYS_SOC 913/929 VDD_4V0_WIFI 0/14 VDD_IN 5447/5182 VDD_SYS_CPU 1142/1334 VDD_SYS_DDR 1500/1393
RAM 2448/7850MB (lfb 354x4MB) SWAP 53/3925MB (cached 7MB) CPU [0%@2034,0%@2035,0%@2035,100%@2035,0%@2035,0%@2035] EMC_FREQ 4%@1866 GR3D_FREQ 99%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@48C BCPU@48.5C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 761/437 VDD_SYS_SOC 913/928 VDD_4V0_WIFI 0/13 VDD_IN 5447/5188 VDD_SYS_CPU 1142/1329 VDD_SYS_DDR 1500/1396
RAM 2465/7850MB (lfb 354x4MB) SWAP 53/3925MB (cached 7MB) CPU [1%@2033,0%@2036,0%@2035,100%@2030,6%@2031,0%@2031] EMC_FREQ 5%@1866 GR3D_FREQ 99%@216 APE 150 MTS fg 0% bg 0% PLL@49C MCPU@49C PMIC@50C Tboard@44C GPU@47.5C BCPU@49C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 761/445 VDD_SYS_SOC 989/930 VDD_4V0_WIFI 0/13 VDD_IN 5676/5201 VDD_SYS_CPU 1142/1324 VDD_SYS_DDR 1634/1402
RAM 2465/7850MB (lfb 354x4MB) SWAP 53/3925MB (cached 7MB) CPU [2%@2031,0%@2035,0%@2035,100%@2032,0%@2031,0%@2031] EMC_FREQ 8%@1866 GR3D_FREQ 99%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@48C BCPU@48.5C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 685/451 VDD_SYS_SOC 1065/933 VDD_4V0_WIFI 0/13 VDD_IN 5981/5220 VDD_SYS_CPU 1141/1320 VDD_SYS_DDR 1881/1414
RAM 2465/7850MB (lfb 354x4MB) SWAP 53/3925MB (cached 7MB) CPU [4%@2033,0%@2034,0%@2036,100%@2031,0%@2032,0%@2032] EMC_FREQ 10%@1866 GR3D_FREQ 98%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@48C BCPU@48.5C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 685/456 VDD_SYS_SOC 1065/936 VDD_4V0_WIFI 0/12 VDD_IN 5981/5238 VDD_SYS_CPU 1141/1316 VDD_SYS_DDR 1900/1425
RAM 2465/7850MB (lfb 354x4MB) SWAP 53/3925MB (cached 7MB) CPU [1%@2032,0%@2034,0%@2036,100%@2032,0%@2032,0%@2032] EMC_FREQ 11%@1866 GR3D_FREQ 99%@216 APE 150 MTS fg 0% bg 0% PLL@49C MCPU@49C PMIC@50C Tboard@44C GPU@48C BCPU@49C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 609/460 VDD_SYS_SOC 1065/939 VDD_4V0_WIFI 0/12 VDD_IN 5981/5255 VDD_SYS_CPU 1141/1311 VDD_SYS_DDR 1920/1437
RAM 2465/7850MB (lfb 354x4MB) SWAP 53/3925MB (cached 7MB) CPU [0%@2033,0%@2034,0%@2035,100%@2031,1%@2031,3%@2032] EMC_FREQ 9%@1866 GR3D_FREQ 99%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@48.5C BCPU@48.5C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 837/468 VDD_SYS_SOC 989/940 VDD_4V0_WIFI 0/12 VDD_IN 5714/5265 VDD_SYS_CPU 1141/1308 VDD_SYS_DDR 1632/1441
