RAM 2468/7850MB (lfb 350x4MB) SWAP 53/3925MB (cached 7MB) CPU [6%@2033,0%@2036,0%@2034,0%@2029,1%@2031,100%@2032] EMC_FREQ 7%@1866 GR3D_FREQ 98%@522 APE 150 MTS fg 0% bg 0% PLL@55.5C MCPU@55.5C PMIC@50C Tboard@51C GPU@55.5C BCPU@55.5C thermal@55.5C Tdiode@55.5C VDD_SYS_GPU 1599/684 VDD_SYS_SOC 989/989 VDD_4V0_WIFI 0/18 VDD_IN 6438/5816 VDD_SYS_CPU 1218/1465 VDD_SYS_DDR 1500/1501
RAM 2468/7850MB (lfb 350x4MB) SWAP 53/3925MB (cached 7MB) CPU [5%@2032,0%@2035,0%@2036,0%@2030,1%@2029,100%@2031] EMC_FREQ 6%@1866 GR3D_FREQ 96%@522 APE 150 MTS fg 0% bg 0% PLL@55.5C MCPU@55.5C PMIC@50C Tboard@51C GPU@55.5C BCPU@55.5C thermal@55.3C Tdiode@55.5C VDD_SYS_GPU 1674/714 VDD_SYS_SOC 989/989 VDD_4V0_WIFI 0/18 VDD_IN 6664/5842 VDD_SYS_CPU 1218/1457 VDD_SYS_DDR 1634/1505
RAM 2468/7850MB (lfb 350x4MB) SWAP 53/3925MB (cached 7MB) CPU [10%@2031,0%@2036,0%@2034,0%@2028,1%@2029,100%@2029] EMC_FREQ 7%@1866 GR3D_FREQ 98%@522 APE 150 MTS fg 0% bg 0% PLL@55.5C MCPU@55.5C PMIC@50C Tboard@51C GPU@55.5C BCPU@55.5C thermal@55.3C Tdiode@55.5C VDD_SYS_GPU 1598/740 VDD_SYS_SOC 1065/991 VDD_4V0_WIFI 0/17 VDD_IN 6702/5867 VDD_SYS_CPU 1218/1450 VDD_SYS_DDR 1653/1510
RAM 2468/7850MB (lfb 350x4MB) SWAP 53/3925MB (cached 7MB) CPU [5%@2030,0%@2035,0%@2034,0%@2030,0%@2029,100%@2029] EMC_FREQ 6%@1866 GR3D_FREQ 99%@522 APE 150 MTS fg 0% bg 0% PLL@55.5C MCPU@55.5C PMIC@50C Tboard@51C GPU@55.5C BCPU@55.5C thermal@55.5C Tdiode@55.5C VDD_SYS_GPU 1523/763 VDD_SYS_SOC 989/991 VDD_4V0_WIFI 0/17 VDD_IN 6438/5884 VDD_SYS_CPU 1218/1444 VDD_SYS_DDR 1557/1511
RAM 2468/7850MB (lfb 350x4MB) SWAP 53/3925MB (cached 7MB) CPU [6%@2030,0%@2035,0%@2035,0%@2030,1%@2030,100%@2031] EMC_FREQ 5%@1866 GR3D_FREQ 98%@522 APE 150 MTS fg 0% bg 0% PLL@56C MCPU@56C PMIC@50C Tboard@51C GPU@55.5C BCPU@56C thermal@55.8C Tdiode@55.75C VDD_SYS_GPU 1827/792 VDD_SYS_SOC 989/991 VDD_4V0_WIFI 0/16 VDD_IN 6628/5904 VDD_SYS_CPU 1218/1437 VDD_SYS_DDR 1519/1511
RAM 2468/7850MB (lfb 350x4MB) SWAP 53/3925MB (cached 7MB) CPU [6%@2030,0%@2035,0%@2036,0%@2030,2%@2032,100%@2031] EMC_FREQ 8%@1866 GR3D_FREQ 98%@522 APE 150 MTS fg 0% bg 0% PLL@55.5C MCPU@55.5C PMIC@50C Tboard@51C GPU@55.5C BCPU@55.5C thermal@55.8C Tdiode@55.75C VDD_SYS_GPU 1750/818 VDD_SYS_SOC 1065/993 VDD_4V0_WIFI 0/16 VDD_IN 7006/5934 VDD_SYS_CPU 1217/1431 VDD_SYS_DDR 1769/1518
RAM 2468/7850MB (lfb 350x4MB) SWAP 53/3925MB (cached 7MB) CPU [2%@2032,0%@2034,0%@2035,2%@2031,0%@2029,100%@2030] EMC_FREQ 6%@1866 GR3D_FREQ 99%@522 APE 150 MTS fg 0% bg 0% PLL@56C MCPU@56C PMIC@50C Tboard@51C GPU@55.5C BCPU@56C thermal@55.8C Tdiode@55.5C VDD_SYS_GPU 1599/839 VDD_SYS_SOC 989/993 VDD_4V0_WIFI 0/15 VDD_IN 6438/5947 VDD_SYS_CPU 1218/1426 VDD_SYS_DDR 1500/1518
RAM 2468/7850MB (lfb 350x4MB) SWAP 53/3925MB (cached 7MB) CPU [3%@2032,0%@2035,0%@2034,12%@2029,6%@2032,100%@2034] EMC_FREQ 7%@1866 GR3D_FREQ 60%@522 APE 150 MTS fg 0% bg 0% PLL@55.5C MCPU@55.5C PMIC@50C Tboard@51C GPU@55C BCPU@55.5C thermal@55.5C Tdiode@55C VDD_SYS_GPU 1294/850 VDD_SYS_SOC 1065/995 VDD_4V0_WIFI 0/15 VDD_IN 6590/5964 VDD_SYS_CPU 1294/1422 VDD_SYS_DDR 1730/1523
RAM 2468/7850MB (lfb 350x4MB) SWAP 53/3925MB (cached 7MB) CPU [5%@2029,0%@2036,0%@2035,12%@2030,12%@2030,100%@2031] EMC_FREQ 8%@1866 GR3D_FREQ 91%@522 APE 150 MTS fg 0% bg 0% PLL@55.5C MCPU@55.5C PMIC@50C Tboard@51C GPU@55.5C BCPU@55.5C thermal@55.6C Tdiode@55.5C VDD_SYS_GPU 1294/861 VDD_SYS_SOC 989/994 VDD_4V0_WIFI 0/14 VDD_IN 6362/5974 VDD_SYS_CPU 1294/1419 VDD_SYS_DDR 1692/1527
RAM 2468/7850MB (lfb 350x4MB) SWAP 53/3925MB (cached 7MB) CPU [5%@2030,0%@2035,0%@2035,0%@2028,2%@2032,100%@2032] EMC_FREQ 14%@1866 GR3D_FREQ 99%@522 APE 150 MTS fg 0% bg 0% PLL@56C MCPU@56C PMIC@50C Tboard@51C GPU@55C BCPU@56C thermal@55.6C Tdiode@55C VDD_SYS_GPU 1294/872 VDD_SYS_SOC 1217/1000 VDD_4V0_WIFI 0/14 VDD_IN 7311/6006 VDD_SYS_CPU 1217/1414 VDD_SYS_DDR 2246/1545
