RAM 2473/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [2%@2036,0%@2034,0%@2035,1%@2035,9%@2035,100%@2036] EMC_FREQ 15%@1866 GR3D_FREQ 98%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@48C GPU@55.5C BCPU@53.5C thermal@54.3C Tdiode@55.75C VDD_SYS_GPU 4788/1911 VDD_SYS_SOC 1140/1010 VDD_4V0_WIFI 0/19 VDD_IN 10458/7240 VDD_SYS_CPU 1216/1452 VDD_SYS_DDR 2016/1646
RAM 2473/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [8%@2031,0%@2035,0%@2035,1%@2027,9%@2027,100%@2025] EMC_FREQ 30%@1866 GR3D_FREQ 98%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@48C GPU@56C BCPU@53.5C thermal@53.9C Tdiode@54.75C VDD_SYS_GPU 3952/1970 VDD_SYS_SOC 1443/1023 VDD_4V0_WIFI 0/19 VDD_IN 11328/7357 VDD_SYS_CPU 1291/1447 VDD_SYS_DDR 3148/1689
RAM 2473/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [4%@2029,0%@2035,0%@2034,1%@2025,6%@2031,100%@2032] EMC_FREQ 20%@1866 GR3D_FREQ 96%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@48C GPU@56C BCPU@53.5C thermal@54.5C Tdiode@56C VDD_SYS_GPU 4940/2052 VDD_SYS_SOC 1140/1026 VDD_4V0_WIFI 0/18 VDD_IN 10420/7442 VDD_SYS_CPU 1216/1441 VDD_SYS_DDR 1977/1697
RAM 2473/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [4%@2029,0%@2035,0%@2035,1%@2025,9%@2028,100%@2027] EMC_FREQ 19%@1866 GR3D_FREQ 96%@1122 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@48C GPU@56C BCPU@54C thermal@54.6C Tdiode@55C VDD_SYS_GPU 4637/2122 VDD_SYS_SOC 1140/1029 VDD_4V0_WIFI 0/18 VDD_IN 10344/7521 VDD_SYS_CPU 1216/1435 VDD_SYS_DDR 2054/1707
RAM 2473/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [5%@2025,0%@2034,0%@2035,1%@2027,10%@2031,100%@2029] EMC_FREQ 18%@1866 GR3D_FREQ 96%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@48C GPU@56C BCPU@53.5C thermal@55C Tdiode@56C VDD_SYS_GPU 4940/2196 VDD_SYS_SOC 1139/1032 VDD_4V0_WIFI 0/17 VDD_IN 10648/7603 VDD_SYS_CPU 1216/1429 VDD_SYS_DDR 2054/1716
RAM 2473/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [10%@2029,0%@2035,0%@2035,9%@2027,16%@2028,100%@2024] EMC_FREQ 14%@1866 GR3D_FREQ 9%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@48C GPU@53C BCPU@53.5C thermal@53.5C Tdiode@53.5C VDD_SYS_GPU 2358/2200 VDD_SYS_SOC 1064/1033 VDD_4V0_WIFI 0/17 VDD_IN 7688/7605 VDD_SYS_CPU 1369/1427 VDD_SYS_DDR 1788/1718
RAM 2473/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [2%@2028,0%@2035,0%@2035,9%@2028,6%@2028,100%@2028] EMC_FREQ 20%@1866 GR3D_FREQ 99%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@48C GPU@54C BCPU@53.5C thermal@53.7C Tdiode@54C VDD_SYS_GPU 3193/2225 VDD_SYS_SOC 1368/1041 VDD_4V0_WIFI 0/16 VDD_IN 10078/7667 VDD_SYS_CPU 1216/1422 VDD_SYS_DDR 2822/1745
RAM 2474/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [9%@2029,0%@2034,0%@2035,4%@2028,19%@2028,100%@2028] EMC_FREQ 18%@1866 GR3D_FREQ 75%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@48C GPU@55.5C BCPU@53.5C thermal@54.3C Tdiode@56C VDD_SYS_GPU 4561/2282 VDD_SYS_SOC 1140/1044 VDD_4V0_WIFI 0/16 VDD_IN 10420/7734 VDD_SYS_CPU 1292/1419 VDD_SYS_DDR 2054/1753
RAM 2474/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [4%@2029,0%@2035,0%@2034,1%@2028,13%@2029,100%@2032] EMC_FREQ 16%@1866 GR3D_FREQ 95%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@48C GPU@55.5C BCPU@53.5C thermal@54.3C Tdiode@55.75C VDD_SYS_GPU 4637/2338 VDD_SYS_SOC 1140/1046 VDD_4V0_WIFI 0/16 VDD_IN 10230/7794 VDD_SYS_CPU 1292/1416 VDD_SYS_DDR 1939/1757
RAM 2616/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [2%@2030,0%@2034,0%@2035,1%@2029,14%@2028,100%@2030] EMC_FREQ 19%@1866 GR3D_FREQ 99%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@48C GPU@54.5C BCPU@53.5C thermal@54.3C Tdiode@54.25C VDD_SYS_GPU 3876/2374 VDD_SYS_SOC 1292/1052 VDD_4V0_WIFI 0/15 VDD_IN 10648/7860 VDD_SYS_CPU 1292/1413 VDD_SYS_DDR 2707/1779
RAM 2617/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [5%@2027,0%@2034,0%@2035,17%@2027,5%@2029,100%@2029] EMC_FREQ 28%@1866 GR3D_FREQ 98%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@48C GPU@56C BCPU@53.5C thermal@53.9C Tdiode@56C VDD_SYS_GPU 4408/2420 VDD_SYS_SOC 1291/1057 VDD_4V0_WIFI 0/15 VDD_IN 11252/7937 VDD_SYS_CPU 1291/1410 VDD_SYS_DDR 2764/1802
RAM 2617/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [3%@2031,0%@2034,0%@2035,0%@2030,11%@2027,100%@2031] EMC_FREQ 21%@1866 GR3D_FREQ 77%@1122 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@48C GPU@56C BCPU@54C thermal@54.5C Tdiode@56C VDD_SYS_GPU 4940/2476 VDD_SYS_SOC 1215/1060 VDD_4V0_WIFI 0/14 VDD_IN 10801/8001 VDD_SYS_CPU 1291/1408 VDD_SYS_DDR 2169/1810
RAM 2617/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [4%@2027,0%@2035,0%@2034,2%@2032,10%@2031,100%@2029] EMC_FREQ 18%@1866 GR3D_FREQ 96%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@48C GPU@56C BCPU@53.5C thermal@54.6C Tdiode@56C VDD_SYS_GPU 4788/2526 VDD_SYS_SOC 1140/1062 VDD_4V0_WIFI 0/14 VDD_IN 10306/8051 VDD_SYS_CPU 1292/1405 VDD_SYS_DDR 1958/1813
RAM 2617/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [3%@2032,0%@2035,0%@2034,0%@2028,9%@2031,100%@2033] EMC_FREQ 17%@1866 GR3D_FREQ 94%@1122 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@48C GPU@56C BCPU@54C thermal@54.7C Tdiode@56C VDD_SYS_GPU 4940/2578 VDD_SYS_SOC 1140/1064 VDD_4V0_WIFI 0/14 VDD_IN 10420/8101 VDD_SYS_CPU 1216/1401 VDD_SYS_DDR 1958/1816
